"","model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"1871","5 Series",2014,15498,"Semi-Auto",35822,"Diesel",165,51.4,3
"1872","X1",2017,20998,"Semi-Auto",16216,"Diesel",150,55.4,2
"1873","X2",2019,31680,"Semi-Auto",103,"Diesel",145,58.9,2
"1874","1 Series",2019,31790,"Semi-Auto",8211,"Petrol",145,34.5,2
"1875","1 Series",2019,26413,"Manual",12262,"Petrol",145,41.5,1.5
"1876","5 Series",2019,32400,"Semi-Auto",7111,"Diesel",145,55.4,2
"1877","X1",2019,24000,"Semi-Auto",5547,"Diesel",145,47.9,2
"1878","1 Series",2018,15291,"Manual",16891,"Petrol",150,53.3,1.5
"1879","X4",2017,26191,"Semi-Auto",37114,"Diesel",200,47.9,3
"1880","3 Series",2018,17899,"Semi-Auto",40500,"Petrol",145,48.7,2
"1881","1 Series",2016,16117,"Manual",25231,"Petrol",300,35.3,3
"1882","3 Series",2017,19830,"Semi-Auto",39664,"Diesel",145,49.6,3
"1883","1 Series",2016,14017,"Manual",12670,"Diesel",20,70.6,1.5
"1884","1 Series",2017,16498,"Manual",16706,"Diesel",150,62.8,2
"1885","3 Series",2013,10298,"Manual",60211,"Diesel",125,60.1,2
"1886","2 Series",2018,16998,"Manual",4302,"Petrol",145,40.9,1.5
"1887","4 Series",2018,20998,"Semi-Auto",18392,"Diesel",150,65.7,2
"1888","1 Series",2014,13750,"Semi-Auto",20000,"Diesel",30,64.2,2
"1889","3 Series",2016,19250,"Semi-Auto",37679,"Diesel",150,53.3,3
"1890","3 Series",2015,18555,"Semi-Auto",51416,"Diesel",145,53.3,3
"1891","4 Series",2020,31003,"Semi-Auto",2400,"Diesel",145,50.4,3
"1892","4 Series",2020,27003,"Semi-Auto",1816,"Petrol",145,48.7,2
"1893","1 Series",2014,8690,"Manual",51344,"Diesel",30,65.7,2
"1894","2 Series",2019,21097,"Semi-Auto",7947,"Diesel",145,47.1,2
"1895","1 Series",2019,23997,"Semi-Auto",8423,"Petrol",145,39.8,3
"1896","7 Series",2019,49990,"Semi-Auto",5364,"Diesel",145,44.1,3
"1897","5 Series",2019,42650,"Semi-Auto",4000,"Petrol",145,50.4,2
"1898","M5",2019,61797,"Semi-Auto",4419,"Petrol",145,26.9,4.4
"1899","X3",2019,35991,"Semi-Auto",8667,"Diesel",150,54.3,2
"1900","1 Series",2017,21490,"Semi-Auto",25954,"Petrol",150,39.8,3
"1901","4 Series",2015,15361,"Manual",43745,"Diesel",125,60.1,2
"1902","3 Series",2015,12110,"Manual",54905,"Diesel",125,58.9,2
"1903","3 Series",2016,12180,"Manual",56763,"Diesel",20,68.9,2
"1904","X1",2013,9527,"Semi-Auto",60973,"Diesel",145,56.5,2
"1905","1 Series",2017,19990,"Automatic",27108,"Petrol",145,39.8,3
"1906","3 Series",2014,11491,"Manual",64021,"Diesel",125,57.6,2
"1907","5 Series",2017,27399,"Semi-Auto",23607,"Diesel",145,51.4,3
"1908","5 Series",2016,17980,"Semi-Auto",32205,"Diesel",30,62.8,2
"1909","X1",2020,25480,"Semi-Auto",24,"Diesel",145,60.1,2
"1910","2 Series",2020,20980,"Semi-Auto",9,"Petrol",145,50.4,1.5
"1911","2 Series",2020,20980,"Semi-Auto",12,"Petrol",145,50.4,1.5
"1912","1 Series",2019,21980,"Manual",821,"Diesel",145,72.4,1.5
"1913","6 Series",2020,33490,"Semi-Auto",101,"Petrol",145,42.8,2
"1914","3 Series",2020,26980,"Semi-Auto",101,"Diesel",145,62.8,2
"1915","3 Series",2019,22480,"Semi-Auto",6191,"Diesel",145,55.4,2
"1916","1 Series",2019,20980,"Manual",8617,"Petrol",145,44.1,1.5
"1917","1 Series",2019,17980,"Semi-Auto",8211,"Diesel",145,74.3,2
"1918","Z4",2019,31990,"Semi-Auto",9950,"Petrol",145,38.7,2
"1919","X2",2020,28993,"Semi-Auto",101,"Diesel",145,61.4,2
"1920","M4",2020,49623,"Semi-Auto",2024,"Petrol",145,34,3
"1921","X1",2020,27493,"Manual",3609,"Diesel",145,39.2,2
"1922","4 Series",2019,28000,"Semi-Auto",6451,"Diesel",145,58.9,2
"1923","M4",2019,44500,"Semi-Auto",5644,"Petrol",145,34,3
"1924","2 Series",2019,19990,"Manual",6361,"Diesel",145,51.4,2
"1925","3 Series",2015,14391,"Semi-Auto",56262,"Diesel",30,62.8,2
"1926","5 Series",2018,23891,"Semi-Auto",23652,"Diesel",145,48.7,2
"1927","X3",2019,30990,"Semi-Auto",20423,"Petrol",145,30.4,2
"1928","X2",2019,31790,"Semi-Auto",4169,"Petrol",145,34,2
"1929","X3",2020,36853,"Semi-Auto",2479,"Diesel",145,54.3,2
